store_name,rider_name,store_delivery,rider_store,packaging_time,rating,output
Bloor Street,Ananya,6.982,3.83,2.2,2,2
Bloor Street,Dipak,6.97,2.358,2.9,5,2
Market Real,Ananya,6.969,2.252,4.4,5,1
Market Real,Janvi,6.966,3.018,6.6,4,1
Bromley Food Store,Janvi,6.958,2.691,2.0,3,5
Pepper’s Grocery,Pauliene,6.955,1.118,3.9,3,5
Sunrise Mart,Yamraj,6.942,2.425,6.9,5,3
Clover Grocery,Yamraj,6.938,2.729,5.1,3,5
Superstore Save-On-Foods,Ananya,6.933,3.038,5.3,1,5
Market Real,Dipak,6.93,1.109,1.1,5,3
Bromley Food Store,Yamraj,6.919,3.574,5.2,2,3
Bloor Street,Anushka,6.919,1.775,5.8,5,2
The Grocery Outlet,Yamraj,6.918,3.27,1.3,2,4
The Grocery Outlet,Dipak,6.912,1.093,5.6,1,4
Bloor Street,Karthikey,6.904,2.544,6.0,3,2
Sunrise Mart,Karthikey,6.902,2.517,5.8,1,2
Bloor Street,Sambhavi,6.9,3.862,3.9,4,2
Bloor Street,Rahul,6.896,3.236,1.1,2,5
Market Real,Yamraj,6.892,3.297,2.4,4,5
Superstore Save-On-Foods,Ananya,6.88,1.183,5.5,1,1
Pepper’s Grocery,Yamraj,6.873,2.561,1.0,2,5
Superstore Save-On-Foods,Anushka,6.867,2.685,3.3,3,2
Clover Grocery,Ananya,6.862,2.548,4.6,3,1
Bromley Food Store,Janvi,6.86,2.522,4.4,1,5
Superstore Save-On-Foods,Anushka,6.859,3.779,3.3,2,4
The Grocery Outlet,Anushka,6.856,3.683,6.2,1,5
The Grocery Outlet,Ananya,6.85,2.851,6.7,3,2
Bromley Food Store,Karthikey,6.848,1.769,5.6,4,1
Pepper’s Grocery,Vedant,6.84,2.114,4.7,5,5
Pepper’s Grocery,Janvi,6.833,3.439,2.4,2,1
Market Real,Karthikey,6.829,1.763,3.8,3,3
Superstore Save-On-Foods,Rakesh,6.826,2.675,2.6,1,2
Bromley Food Store,Sambhavi,6.82,1.548,5.9,5,4
Bloor Street,Anushka,6.82,2.228,2.5,5,5
Clover Grocery,Dipak,6.819,3.242,3.1,4,2
The Grocery Outlet,Rahul,6.814,3.453,3.6,1,3
Market Real,Sambhavi,6.807,2.394,5.0,3,2
Clover Grocery,Sambhavi,6.794,1.631,1.9,1,4
Superstore Save-On-Foods,Yamraj,6.793,1.905,4.6,5,4
Pepper’s Grocery,Anushka,6.787,2.314,4.7,2,5
Market Real,Pauliene,6.787,1.223,2.8,5,2
The Grocery Outlet,Anushka,6.786,2.233,3.7,3,3
Superstore Save-On-Foods,Janvi,6.779,1.554,6.6,3,5
Market Real,Karthikey,6.776,3.641,3.6,4,4
The Grocery Outlet,Rahul,6.775,1.653,3.6,4,1
Clover Grocery,Ananya,6.775,2.351,6.8,5,1
Bloor Street,Vedant,6.767,2.456,6.8,4,1
Superstore Save-On-Foods,Dipak,6.755,1.959,6.1,4,1
Superstore Save-On-Foods,Yamraj,6.751,2.911,5.6,5,4
Pepper’s Grocery,Anushka,6.75,3.671,5.6,5,2
Superstore Save-On-Foods,Sambhavi,6.747,1.7,1.2,1,3
The Grocery Outlet,Yamraj,6.734,2.006,1.8,3,4
Bromley Food Store,Anushka,6.731,2.649,2.4,4,4
Pepper’s Grocery,Rakesh,6.725,2.47,1.6,5,4
Market Real,Sambhavi,6.711,1.142,3.5,4,3
Clover Grocery,Sambhavi,6.711,3.811,5.5,5,2
Pepper’s Grocery,Pauliene,6.709,1.186,1.0,4,5
Bloor Street,Vedant,6.709,3.352,6.3,2,5
Superstore Save-On-Foods,Karthikey,6.708,2.772,1.1,4,1
Pepper’s Grocery,Pauliene,6.707,3.228,4.3,2,1
Clover Grocery,Yamraj,6.697,2.891,4.7,3,5
Superstore Save-On-Foods,Rakesh,6.694,2.025,3.5,4,1
